ProductKey,OrderDateKey,CustomerKey,SalesTerritoryKey,OrderQuantity,UnitPrice,DiscountAmount,TotalProductCost,SalesAmount,TaxAmt,Freight
353,20121231,11345,7,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
537,20121231,11345,7,1,35,0,13.09,35,2.8,0.875
581,20121231,20982,10,1,1700.99,0,1082.51,1700.99,136.0792,42.5248
490,20121231,20982,10,1,53.99,0,41.5723,53.99,4.3192,1.3498
225,20121231,20982,10,1,8.99,0,6.9223,8.99,0.7192,0.2248
380,20121231,22822,10,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
540,20121231,22822,10,1,32.6,0,12.1924,32.6,2.608,0.815
378,20121231,25793,8,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
529,20121231,25793,8,1,3.99,0,1.4923,3.99,0.3192,0.0998
540,20121231,25793,8,1,32.6,0,12.1924,32.6,2.608,0.815
355,20121231,11402,7,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
477,20121231,11402,7,1,4.99,0,1.8663,4.99,0.3992,0.1248
478,20121231,11402,7,1,9.99,0,3.7363,9.99,0.7992,0.2498
487,20121231,11402,7,1,54.99,0,20.5663,54.99,4.3992,1.3748
225,20121231,11402,7,1,8.99,0,6.9223,8.99,0.7192,0.2248
378,20121231,20038,4,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
359,20121231,11292,4,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
485,20121231,11292,4,1,21.98,0,8.2205,21.98,1.7584,0.5495
477,20121231,11292,4,1,4.99,0,1.8663,4.99,0.3992,0.1248
478,20121231,11292,4,1,9.99,0,3.7363,9.99,0.7992,0.2498
363,20121231,11257,4,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
480,20121231,11257,4,1,2.29,0,0.8565,2.29,0.1832,0.0573
571,20121231,11615,10,1,742.35,0,461.4448,742.35,59.388,18.5588
214,20121231,11615,10,1,34.99,0,13.0863,34.99,2.7992,0.8748
583,20121231,18467,9,1,1700.99,0,1082.51,1700.99,136.0792,42.5248
562,20121231,28204,9,1,2384.07,0,1481.9379,2384.07,190.7256,59.6018
214,20121231,28204,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
361,20121231,11105,9,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
359,20121231,11106,9,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
357,20121231,11061,9,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
478,20121231,11061,9,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20121231,11061,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
214,20121231,11061,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
359,20121231,11002,9,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
353,20121231,11076,9,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
487,20121231,11076,9,1,54.99,0,20.5663,54.99,4.3992,1.3748
584,20121231,23859,6,1,539.99,0,343.6496,539.99,43.1992,13.4998
222,20121231,23859,6,1,34.99,0,13.0863,34.99,2.7992,0.8748
606,20121231,21600,4,1,539.99,0,343.6496,539.99,43.1992,13.4998
538,20121231,21600,4,1,21.49,0,8.0373,21.49,1.7192,0.5373
480,20121231,21600,4,1,2.29,0,0.8565,2.29,0.1832,0.0573
388,20121231,19225,4,1,1120.49,0,713.0798,1120.49,89.6392,28.0123
222,20121231,19225,4,1,34.99,0,13.0863,34.99,2.7992,0.8748
471,20121231,19225,4,1,63.5,0,23.749,63.5,5.08,1.5875
605,20121231,25609,10,1,539.99,0,343.6496,539.99,43.1992,13.4998
538,20121231,25609,10,1,21.49,0,8.0373,21.49,1.7192,0.5373
529,20121231,25609,10,1,3.99,0,1.4923,3.99,0.3192,0.0998
604,20121231,29355,8,1,539.99,0,343.6496,539.99,43.1992,13.4998
538,20121231,29355,8,1,21.49,0,8.0373,21.49,1.7192,0.5373
529,20121231,29355,8,1,3.99,0,1.4923,3.99,0.3192,0.0998
480,20121231,29355,8,1,2.29,0,0.8565,2.29,0.1832,0.0573
562,20121231,12124,7,1,2384.07,0,1481.9379,2384.07,190.7256,59.6018
222,20121231,12124,7,1,34.99,0,13.0863,34.99,2.7992,0.8748
225,20121231,12124,7,1,8.99,0,6.9223,8.99,0.7192,0.2248
574,20121231,25625,8,1,2384.07,0,1481.9379,2384.07,190.7256,59.6018
479,20121231,25625,8,1,8.99,0,3.3623,8.99,0.7192,0.2248
477,20121231,25625,8,1,4.99,0,1.8663,4.99,0.3992,0.1248
214,20121231,25625,8,1,34.99,0,13.0863,34.99,2.7992,0.8748
372,20121230,18208,9,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
479,20121230,18208,9,1,8.99,0,3.3623,8.99,0.7192,0.2248
477,20121230,18208,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
374,20121230,13519,9,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
355,20121230,11240,10,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
478,20121230,11240,10,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20121230,11240,10,1,4.99,0,1.8663,4.99,0.3992,0.1248
222,20121230,11240,10,1,34.99,0,13.0863,34.99,2.7992,0.8748
361,20121230,11400,10,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
478,20121230,11400,10,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20121230,11400,10,1,4.99,0,1.8663,4.99,0.3992,0.1248
225,20121230,11400,10,1,8.99,0,6.9223,8.99,0.7192,0.2248
357,20121230,11338,8,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
478,20121230,11338,8,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20121230,11338,8,1,4.99,0,1.8663,4.99,0.3992,0.1248
214,20121230,11338,8,1,34.99,0,13.0863,34.99,2.7992,0.8748
372,20121230,23234,8,1,2443.35,0,1554.9479,2443.35,195.468,61.0838
222,20121230,23234,8,1,34.99,0,13.0863,34.99,2.7992,0.8748
593,20121230,13059,4,1,564.99,0,308.2179,564.99,45.1992,14.1248
485,20121230,13059,4,1,21.98,0,8.2205,21.98,1.7584,0.5495
217,20121230,13059,4,1,34.99,0,13.0863,34.99,2.7992,0.8748
465,20121230,13059,4,1,24.49,0,9.1593,24.49,1.9592,0.6123
361,20121230,11261,4,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
222,20121230,11261,4,1,34.99,0,13.0863,34.99,2.7992,0.8748
565,20121230,13841,10,1,742.35,0,461.4448,742.35,59.388,18.5588
482,20121230,13841,10,1,8.99,0,3.3623,8.99,0.7192,0.2248
384,20121230,24604,9,1,1120.49,0,713.0798,1120.49,89.6392,28.0123
539,20121230,24604,9,1,24.99,0,9.3463,24.99,1.9992,0.6248
529,20121230,24604,9,1,3.99,0,1.4923,3.99,0.3192,0.0998
214,20121230,24604,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
488,20121230,24604,9,1,53.99,0,41.5723,53.99,4.3192,1.3498
576,20121230,28202,9,1,2384.07,0,1481.9379,2384.07,190.7256,59.6018
222,20121230,28202,9,1,34.99,0,13.0863,34.99,2.7992,0.8748
584,20121230,19765,9,1,539.99,0,343.6496,539.99,43.1992,13.4998
479,20121230,19765,9,1,8.99,0,3.3623,8.99,0.7192,0.2248
477,20121230,19765,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
361,20121230,11108,9,1,2294.99,0,1251.9813,2294.99,183.5992,57.3748
537,20121230,11108,9,1,35,0,13.09,35,2.8,0.875
355,20121230,11117,9,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
485,20121230,11117,9,1,21.98,0,8.2205,21.98,1.7584,0.5495
478,20121230,11117,9,1,9.99,0,3.7363,9.99,0.7992,0.2498
477,20121230,11117,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
225,20121230,11117,9,1,8.99,0,6.9223,8.99,0.7192,0.2248
353,20121230,11449,9,1,2319.99,0,1265.6195,2319.99,185.5992,57.9998
528,20121230,11449,9,1,4.99,0,1.8663,4.99,0.3992,0.1248
537,20121230,11449,9,1,35,0,13.09,35,2.8,0.875
480,20121230,11449,9,1,2.29,0,0.8565,2.29,0.1832,0.0573
